ext_id,lat,lon,type,name,city
93417875,59.913902,10.734102,npc,1/2 egg,Oslo
91445205,59.886854,10.528854,npc,22 juli mark,Oslo
90288257,59.952990,11.07699,npc,25 Km Fra Oslo,Oslo
91250644,59.932345,10.796745,npc,3 Kuler,Oslo
90353911,59.904801,10.740301,dungeon,4 Tommers Stål Posisjonskanon Modell 1871 Fra Armstrong Fabrikker,Oslo
92012253,59.941854,10.888854,special,623 Km til Nidaros,Oslo
92460648,59.902615,10.699415,npc,90's 14. 12.1911,Oslo
91032282,59.930446,10.472946,npc,A Black Lady,Oslo
92391969,59.912699,10.758599,npc,A round around a round around,Oslo
90354145,59.926502,10.753202,special,Aamodt Bro,Oslo
91310121,59.925169,10.552169,dungeon,Aasterud fotballbane,Oslo
93396220,59.887821,10.815821,dungeon,Abildsø Gård,Oslo
93472672,59.880839,10.820839,special,Abildsøveien ballplass,Oslo
91612780,59.886956,10.855956,dungeon,Abstrakt Wallgrafitti,Oslo
93834454,59.927888,10.764988,npc,After Party,Oslo
90353500,59.909101,10.724601,dungeon,Aker Brygge Horse Head Fountain,Oslo
92631239,59.934838,10.743838,dungeon,Aker Grensestein Nr 70,Oslo
92426740,59.904979,10.627879,npc,Akerkvartalet Sand Volleyballbane,Oslo
92426736,59.904319,10.625619,npc,Akerkvartalet statue A1,Oslo
93483335,59.906941,10.736141,npc,Akershus Slott,Oslo
91855775,59.915450,10.72145,npc,Aktiv Forvaltning,Oslo
92327114,59.935948,10.802648,special,Aktivitetsparken på Lørenbanen,Oslo
90354025,59.927982,10.750482,dungeon,Ale,Oslo
93417947,59.904013,10.799813,npc,Alnastien Waypoints,Oslo
93104840,59.896172,10.629172,dungeon,Alphabet Street,Oslo
90843385,59.912609,10.751609,npc,Aluminiumstruktur,Oslo
92432074,59.919274,10.724174,npc,Ambascitata d´Italia,Oslo
92432133,59.922963,10.723763,npc,Ambassador Poland,Oslo
90354591,59.894938,10.781938,special,Amundsen Ellsworth Nobiles Polekspedisjon,Oslo
90352743,59.916256,10.694256,dungeon,Anker,Oslo
93604795,59.943875,10.570875,dungeon,Ankerveien,Oslo
93604792,59.945984,10.580984,dungeon,Ankerveien turveiviser,Oslo
90843288,59.911110,10.76231,npc,Anne-May Nilsen,Oslo
90828171,59.916353,10.712653,npc,Anno 1897,Oslo
91219975,59.912286,10.709686,npc,Anno Dom 1896,Oslo
90352658,59.919782,10.682782,dungeon,Ansikt,Oslo
92316899,59.920945,10.706545,npc,Ansiktsornament i Frognerveien,Oslo
90371675,59.944826,10.932826,special,Anton Tschudi,Oslo
90354362,59.917830,10.77203,special,Apen på Kumlokket,Oslo
91207604,59.912305,10.724605,npc,Arbeiderbolig,Oslo
93614707,59.902177,10.778577,dungeon,Arctanderbyen,Oslo
90656945,59.920356,10.582156,special,Arena Bekkestua,Oslo
93479201,59.905244,10.753644,npc,Åreveggen,Oslo
90425978,59.927112,10.651112,npc,Arkitekton,Oslo
91855755,59.914631,10.727631,npc,Armless Woman,Oslo
93315236,59.901938,11.056938,npc,Årnesseter,Oslo
90354013,59.935899,10.750299,dungeon,Arthur Skjelderup,Oslo
91803124,59.948003,10.821003,npc,Årvoll IL klubbhus,Oslo
91838276,59.960133,11.046133,dungeon,Asbjørn Dørumsgard Byste,Oslo
91009783,59.929294,10.880494,npc,Asken Lekeplass,Oslo
92670784,59.849940,10.49294,dungeon,Asker ski & kajakk club,Oslo
91657674,59.907089,10.722189,npc,Astrup Fearnley Museet,Oslo
90824480,59.933802,10.764702,npc,Avantgarden,Oslo
90352117,59.912908,10.547808,dungeon,Avløs Stasjon,Oslo
93416655,59.945809,10.764509,special,Badebakken Ballplass,Oslo
90399041,59.910104,10.502104,dungeon,Bærum Idrettspark,Oslo
93630656,59.893857,10.583857,dungeon,Bærum Seilforening,Oslo
91032565,59.938001,10.501701,special,Bærums Verk 1610,Oslo
90338532,59.903466,10.776366,dungeon,Baglerstredet,Oslo
92353956,59.929646,10.716446,npc,Baker Hansen 1861,Oslo
93318666,59.934870,10.99787,dungeon,Bål,Oslo
90366263,59.912007,10.634307,npc,Ball Tower,Oslo
91447581,59.967060,10.89706,npc,Ballbinge,Oslo
93406226,59.908226,10.579226,dungeon,Ballerud Ballbinge,Oslo
92559725,59.918665,10.722765,npc,Ballet Girl Statue,Oslo
92421722,59.909130,10.61993,npc,Balløkke Philip Pedersensvei,Oslo
92070250,59.906863,10.718663,npc,Balls,Oslo
90399034,59.908852,10.499852,dungeon,Ballspiller Bærum Idrettspark,Oslo
91216131,59.908883,10.498883,npc,Ballspiller Mural@Bærum Idrettspark,Oslo
90354747,59.969901,10.789901,dungeon,Bambi,Oslo
90786783,59.945281,10.845981,dungeon,Bamsetrøst,Oslo
90342925,59.971878,10.904878,special,Bånkallia Natur- og Kultursti,Oslo
91172962,59.907686,10.547486,dungeon,Barn,Oslo
90353869,59.937122,10.739422,dungeon,Barn med fisk,Oslo
93526132,59.928835,10.727635,npc,Barratt Due misikkinstitutt,Oslo
91182336,59.917297,10.519297,dungeon,Basalt lava - Ullernvulkanen,Oslo
90353978,59.930594,10.743594,dungeon,Båt på Veggen,Oslo
92517032,59.951938,11.049938,npc,Bauta for ute miljø,Oslo
90996623,59.920050,10.55605,special,Bear with cubs,Oslo
92260687,59.934190,10.67939,dungeon,Bears Playing on an Anchor,Oslo
91657683,59.907160,10.72156,npc,Bedende Metal Man,Oslo
93722947,59.882509,10.783709,dungeon,Bekkelaget Krigsminnesmerke,Oslo
90336785,59.916737,10.588537,dungeon,Bekkestua bro,Oslo
90972264,59.916964,10.587964,npc,Bekkestua Post,Oslo
90336796,59.917506,10.589606,dungeon,Bekkestua stasjon,Oslo
92393605,59.934986,10.827386,npc,Bekketrappa lekeplass,Oslo
93230940,59.924849,10.978849,npc,Ben ut til siden,Oslo
92291442,59.951107,10.745107,dungeon,Berg Station,Oslo
92352351,59.950414,10.738114,dungeon,Bergbanen,Oslo
90366425,59.867161,10.822161,dungeon,Bergkrystallen,Oslo
90365895,59.915089,10.638489,npc,Berøring,Oslo
90961037,59.913172,10.720072,npc,Bervens løkke,Oslo
93604810,59.950823,10.558823,dungeon,Bestemors hus,Oslo
92070507,59.920324,10.664124,npc,Bestun Stasjon,Oslo
90338499,59.905238,10.768938,special,Betongrampa Graffiti,Oslo
90398566,59.940984,10.897984,dungeon,Biblioteket på Furuset,Oslo
90366287,59.911882,10.629982,npc,Big Foot,Oslo
90540292,59.875506,10.483606,dungeon,Billingstad Gård,Oslo
90540290,59.874900,10.4834,dungeon,Billingstad Railway Station,Oslo
90972270,59.917382,10.587082,npc,Birdman Statue,Oslo
90714652,59.926212,10.760212,npc,Birkelunden Føll,Oslo
93395434,59.935099,10.938099,dungeon,Bjarne Betjent Mural,Oslo
90383309,59.941692,10.813992,dungeon,Bjerke Musikkbinge,Oslo
90448124,59.943039,10.763039,npc,Bjølsenhallen,Oslo
92016055,59.941172,10.759172,npc,Bjølsenhelling Lekeplass,Oslo
90236713,59.922558,10.709658,dungeon,Bjørn Med Valp Statue,Oslo
91147373,59.887060,10.49706,dungeon,Bjørnegård Volleyballbane,Oslo
91032531,59.895214,10.512914,dungeon,Bjørnen,Oslo
92384387,59.889450,10.63055,dungeon,Bjørneunge,Oslo
91279325,59.926256,10.633856,dungeon,Bjørnsletta Subway Station,Oslo
90462768,59.929174,10.748774,npc,Bjørnunge,Oslo
93609877,59.931958,10.967958,dungeon,Blåveis - Fjellhamar,Oslo
92694801,59.888507,10.734707,dungeon,Bleikhuset Velhuset,Oslo
90353178,59.940299,10.716099,dungeon,Blindern Station,Oslo
91279414,59.891818,10.547818,npc,Blommenholm fyrlykt,Oslo
92432131,59.922716,10.722916,npc,Blue Ladies,Oslo
90365843,59.914904,10.635504,npc,Blue Sky,Oslo
90366047,59.940452,10.798152,dungeon,Blue Tongued Fo,Oslo
90828162,59.916818,10.707518,npc,Blue Tulip,Oslo
93316079,59.930096,11.044096,dungeon,Blystadlia ballplass,Oslo
93230887,59.925956,10.953956,special,BMX-bane Solheim,Oslo
90366933,59.873821,10.839821,dungeon,Bogerud Gås,Oslo
93566350,59.865836,10.796836,dungeon,Boktrykker Sceibler,Oslo
91632784,59.912637,10.710937,special,Bølgen,Oslo
93834427,59.915049,10.728749,npc,Bombeangrep,Oslo
92541995,59.919057,10.669357,special,Bønn til visdom og lys,Oslo
90352757,59.934696,10.695696,dungeon,Borgen Station,Oslo
93230859,59.944148,10.953148,npc,Børn på vippe,Oslo
92566046,59.932766,10.791966,npc,Børsteveien lekeplass,Oslo
90295346,59.929525,10.770225,special,Boy Av Odd Hilt,Oslo
93597564,59.918034,10.767334,npc,Bracket fungi on butternut,Oslo
93141982,59.954971,11.041971,npc,Brandvoldboligen,Oslo
92559318,59.923272,10.725772,npc,Brasserie Blanche,Oslo
93194330,59.956182,11.000182,dungeon,Bråtejordet lekeplass,Oslo
90407648,59.876078,10.863078,dungeon,Bråten Infosign,Oslo
91881068,59.887339,10.801039,dungeon,Brattlikollen Metro,Oslo
90176673,59.981005,10.864005,npc,Breisjøen,Oslo
93259348,59.978023,10.854023,dungeon,Breisjøen og Ammerud p,Oslo
92707986,59.968083,10.767083,dungeon,Brekke gård,Oslo
90462712,59.929799,10.754599,npc,Brenna Arbeiderbolig,Oslo
92121975,59.941498,10.820798,dungeon,Brobekk skolehage,Oslo
90354647,59.882112,10.784112,dungeon,Brønnen Ved Holtet,Oslo
91862276,59.907475,10.723175,npc,Bronse Høyttalere,Oslo
91918566,59.856127,10.465127,npc,Brusetfaret Lekeplass,Oslo
92717466,59.905331,10.822031,dungeon,Bryn Bedehus,Oslo
90332552,59.920997,10.487997,dungeon,Bryn Kirke,Oslo
90353987,59.960987,10.744987,dungeon,Bubbly White,Oslo
92432115,59.920190,10.72289,npc,Buddy Bear,Oslo
90366058,59.918492,10.801192,dungeon,Bulldog Sculpture,Oslo
92484486,59.905160,10.68056,dungeon,Bur - Vest-Agder (1650),Oslo
92432048,59.920406,10.725606,npc,Butikken,Oslo
91308101,59.932138,10.482138,npc,BVH klubbhus,Oslo
90398757,59.911971,10.665871,dungeon,Bygdø Kongsgård Folkepark,Oslo
92460371,59.906178,10.676378,npc,Bygdø Kongsgård Og Folkepark,Oslo
90398745,59.909896,10.669096,dungeon,Bygdø Kongsgård og Folkepark Batteribakken,Oslo
92523073,59.897986,10.686986,dungeon,Bygdøylund lekeplass,Oslo
93152335,59.953969,11.042969,npc,Byparken Lillestrøm,Oslo
90354218,59.927104,10.760204,special,Byste av Jack Johnsen,Oslo
92665545,59.949114,11.003114,special,Byste av Nils Ihlen,Oslo
90832388,59.909978,10.728178,npc,Byste på Stranden,Oslo
93417831,59.916393,10.738893,npc,Café Amsterdam,Oslo
91780043,59.916610,10.77841,special,Calte,Oslo
92432094,59.918010,10.72781,npc,Camilla Collett,Oslo
93336741,59.898095,10.828595,dungeon,Candy Cane in the Forest,Oslo
90337361,59.899291,10.765491,dungeon,Cast Glances,Oslo
90350580,59.915444,10.710444,dungeon,Cat on a Hot Tin Roof,Oslo
92717537,59.957112,10.869112,npc,Ceramic Tile Cross,Oslo
93479197,59.908357,10.710657,npc,Challenges ahead,Oslo
92484488,59.902344,10.678644,npc,Chica,Oslo
91219964,59.910893,10.709293,npc,Chien Regardant Le Fjord,Oslo
93834458,59.929743,10.766943,npc,Chr. Michelsens gt lekeplass,Oslo
91363400,59.941177,10.988177,dungeon,Chr. Villadsen,Oslo
93418703,59.915711,10.734611,npc,Christian Heinrich Grosch,Oslo
91412149,59.908040,10.73424,npc,Christian Radich,Oslo
91569282,59.911258,10.541058,dungeon,Christian Skredsvigs vei,Oslo
91983835,59.975104,10.626104,dungeon,Christiania Roklub,Oslo
93830478,59.931327,10.798327,npc,Church of Scientology,Oslo
90353145,59.929642,10.714942,npc,Civil. Ing. Heyerdahl,Oslo
92730171,59.948912,10.764912,special,climbSLIDE 9,Oslo
90391547,59.915538,10.713938,dungeon,Code,Oslo
91227644,59.914417,10.721317,npc,Colorball,Oslo
93417836,59.916390,10.73669,npc,Colorly Circles,Oslo
93152309,59.954953,11.053953,npc,Colour Pipes Under Bridge,Oslo
90873314,59.933145,10.738245,npc,Concrete Art At The Vet,Oslo
92928479,59.934824,10.644024,dungeon,Contemplating Nature Statue,Oslo
92421721,59.908229,10.619029,dungeon,Cracked Wall,Oslo
90354155,59.917101,10.753401,dungeon,Crowbar,Oslo
91029281,59.924698,10.538198,dungeon,Dalbo Gård,Oslo
90399048,59.924421,10.568321,dungeon,Dame I Bønn,Oslo
90222108,59.957083,10.707083,npc,Dame som strikker,Oslo
90353816,59.942888,10.733888,special,Damplass Fontene,Oslo
92135874,59.914372,10.796872,dungeon,Dampturbin,Oslo
93418708,59.915028,10.737428,npc,Dancer,Oslo
92585216,59.930514,10.473014,dungeon,Danserinnen,Oslo
92391948,59.913052,10.759952,npc,Dattera til hagen,Oslo
93566367,59.859839,10.786839,dungeon,De,Oslo
90398121,59.951345,10.875745,dungeon,Deichmanske Bibliotek Avd. Kalbakken,Oslo
91230606,59.942386,10.811886,npc,Deichmanske Bibliotek Bjerke,Oslo
90407946,59.967914,10.589914,dungeon,Demningen,Oslo
90350601,59.913508,10.713208,dungeon,Den Argentinske Ambassaden,Oslo
90889878,59.931366,10.745366,npc,Den Barmhjertige Samaritan,Oslo
91611626,59.881104,10.510104,dungeon,Den Gamle Granittportalen,Oslo
91855964,59.905043,10.792343,npc,Den gamle kullsyre fabrikken,Oslo
90354079,59.922709,10.751809,dungeon,Den Grønnkledde,Oslo
90346818,59.939172,10.766172,npc,Det Andre Teatret,Oslo
92549348,59.914562,10.718362,dungeon,Det engelske kvarter,Oslo
90336926,59.855166,10.491166,npc,Det gule huset,Oslo
92549238,59.935850,10.71175,dungeon,Det Internasjonale Barnekunstmuseet,Oslo
90353705,59.917074,10.728074,special,Det Kongelige Slott,Oslo
92559706,59.915430,10.72203,npc,Det Norske Nobelinstitutt,Oslo
92390988,59.922738,10.755638,npc,Det syke barn - Munch i 1877,Oslo
90353802,59.936561,10.732561,dungeon,Det Våkende Øyet,Oslo
90407288,59.904169,10.821369,dungeon,Diger osthøvel,Oslo
90543859,59.886854,10.517854,dungeon,Diogenes i tønnen,Oslo
92421710,59.904778,10.625678,dungeon,Disken,Oslo
93798354,59.909159,10.908159,dungeon,Djevelens Prekestol,Oslo
90383498,59.969823,10.636823,special,DNT Bogstadvannet,Oslo
93523065,59.930135,10.508135,dungeon,DNT tur skilt Kolsås/Sætertjern,Oslo
93526233,59.910595,10.535695,dungeon,DnT veikryss,Oslo
90372774,59.911942,10.732742,npc,Dog Fountain,Oslo
92432075,59.918722,10.725022,npc,Doll on Wall,Oslo
92559350,59.926118,10.715018,npc,Dominikanerne,Oslo
90343237,59.922030,10.70313,npc,Dona Nobis Pacem,Oslo
91216102,59.902922,10.504922,dungeon,Dønskitoppen fotballbane,Oslo
91216096,59.903426,10.503126,dungeon,Dønskitoppen lekeplass,Oslo
90353784,59.963893,10.731893,dungeon,Dr. Philos,Oslo
90354139,59.920360,10.75296,dungeon,Dragon in the Womb,Oslo
92300195,59.890006,10.600006,npc,Drikkefontene,Oslo
90391208,59.931332,10.603632,dungeon,Dronning Maud,Oslo
90843306,59.912507,10.748107,npc,Dronningen Kebab,Oslo
92432089,59.917936,10.725136,npc,Dronningen på tur,Oslo
92559698,59.918876,10.720176,npc,Dronningen På Veggen,Oslo
92432108,59.917312,10.726612,npc,Dronningparken Sør,Oslo
91199519,59.923987,10.861987,npc,Droplet,Oslo
93714884,59.922652,10.680752,dungeon,Drunk Birds In Love,Oslo
93318711,59.924127,10.998127,npc,Dumpa,Oslo
90366201,59.927936,10.807536,dungeon,Dusty Spaceship,Oslo
92432070,59.921296,10.724996,npc,Dutch Embassy,Oslo
90353799,59.910747,10.732247,dungeon,Dykker,Oslo
90408076,59.894798,10.688398,dungeon,Dyna Fyr,Oslo
93418696,59.912802,10.701202,npc,Dynamikk,Oslo
90353991,59.912433,10.745633,dungeon,Dyrefontene,Oslo
93417849,59.918094,10.739894,npc,Edderkopppen,Oslo
92334087,59.937630,10.77933,npc,Edvard Griegs Allé lekeplass,Oslo
90714891,59.921154,10.759454,npc,Edvard Munch's Home,Oslo
92244177,59.929230,10.66983,dungeon,Edvard Munchs Hjem (1916-1944),Oslo
90354247,59.921005,10.763605,special,Egg,Oslo
91032360,59.928514,10.487914,dungeon,EGGET,Oslo
90970601,59.924008,10.600008,special,Egne Hjem 1935,Oslo
90227583,59.916403,10.700203,npc,Egypts ambassade i Norge,Oslo
90464444,59.946060,10.61726,dungeon,Eiksmarka Tennisklubb,Oslo
90625923,59.946411,10.618911,dungeon,Eiksmsarka Bibliotek,Oslo
90354449,59.920869,10.775969,dungeon,Einar Gerhardsens Hjem,Oslo
92384639,59.936593,10.489593,dungeon,Einåsen skianlegg infoskilt,Oslo
93394480,59.875176,10.789176,dungeon,Ekeberg Dyreklinikk,Oslo
90337357,59.899393,10.761193,special,Ekebergrestauranten Lillebjørn,Oslo
90398734,59.929278,10.670278,dungeon,Ekely Munch's Studio,Oslo
92130063,59.884166,10.499166,npc,Ekkoveien lekeplass,Oslo
92432065,59.920138,10.727938,npc,Electric Node Cabinet,Oslo
90366397,59.927078,10.652078,npc,Elektra,Oslo
90854664,59.905803,10.779103,dungeon,Elektrogården,Oslo
92768422,59.890031,10.526031,dungeon,Elementene,Oslo
90525796,59.933698,10.756998,npc,Elephant,Oslo
90366310,59.911966,10.629166,npc,Elephant Statue,Oslo
93548875,59.913088,10.980088,npc,Elg - Losbylinja,Oslo
90337656,59.892426,10.872926,dungeon,ELG info,Oslo
92561413,59.918214,10.707814,npc,Elisenberg Postkontor,Oslo
91387402,59.936831,10.915831,dungeon,Ellingsrud Kirke,Oslo
91353575,59.931026,10.922026,npc,Ellingsrud Ridesenter,Oslo
91197300,59.945894,10.898294,special,Elvebanken På Verdensplassen,Oslo
93417443,59.947265,10.692565,dungeon,Emanuel Vigelands Mausoleum,Oslo
91182313,59.893992,10.492992,dungeon,Emma Lippestad Hjort,Oslo
93286056,59.908234,10.784234,npc,Engaland lekeplass,Oslo
90354617,59.929407,10.782107,dungeon,Enka På Sinsen,Oslo
91147343,59.906052,10.541052,dungeon,Epilepsisenteret SSE natursti,Oslo
91310329,59.915498,10.595598,npc,Eplehagen Gartnerbolig,Oslo
92801051,59.895125,10.629525,npc,Equinor Office,Oslo
90353806,59.963878,10.732878,dungeon,Erling Fjellbirkeland,Oslo
90353831,59.934124,10.735624,dungeon,Eros og psyke,Oslo
90694303,59.908407,10.793007,npc,Etterstad Kolonihage,Oslo
90354844,59.909944,10.799544,dungeon,Etterstadsletta Park,Oslo
91478538,59.907988,10.797588,dungeon,Etterstadsletta Vest Lekepark,Oslo
91624382,59.900013,10.630013,dungeon,Evry,Oslo
92467720,59.919491,10.630591,npc,Fåbro Hage,Oslo
93319251,59.921574,10.624374,dungeon,Falt for fedrelandet - Minnestein,Oslo
90287928,59.862096,10.792096,dungeon,Fam. Plavnik Og Fam. Steinmann (Snubble-steiner),Oslo
90962559,59.924918,10.745318,npc,Family Lewenstein,Oslo
91829388,59.917973,10.647373,npc,Faun,Oslo
93483507,59.908081,10.755581,npc,Fellesskap by Nico Widerberg,Oslo
92557364,59.918082,10.696482,npc,Ferdighus,Oslo
90410047,59.934434,10.769234,npc,Fernanda Nissen Statue,Oslo
92300239,59.896984,10.614984,npc,Festplassen,Oslo
90165877,59.956052,11.042052,npc,Filadelfiakirken Lillestrøm,Oslo
92412785,59.918865,10.611865,npc,Filmparken på Jar,Oslo
90961057,59.910133,10.722133,npc,Fineart Noreg.Norway,Oslo
90788038,59.926982,10.736882,npc,Firkanta Fluesopp,Oslo
93230937,59.925112,10.978112,npc,Fisk og kreps i losbyelva,Oslo
90354640,59.842969,10.783969,special,Fisketrapp,Oslo
93431838,59.872013,10.976013,dungeon,Fisklaushytta,Oslo
93609881,59.932919,10.968919,special,Fjellsvingen Playground,Oslo
93376242,59.921906,11.071906,dungeon,Fjerdingby Bussterminal,Oslo
93325472,59.975891,10.962891,npc,Flaggermushuset På Lahaugmoen,Oslo
90354224,59.927263,10.761163,dungeon,Flower Power,Oslo
90398997,59.923826,10.566826,dungeon,Flowerboys,Oslo
90399058,59.924590,10.57459,dungeon,Fløytespilleren,Oslo
93526188,59.901571,10.624371,npc,Flytårnet kultursenter,Oslo
90865998,59.908570,10.76827,npc,Fo,Oslo
90332594,59.924127,10.492127,npc,Fole i galopp,Oslo
90366373,59.884117,10.818117,dungeon,Folkets Hus Abildsø,Oslo
91147233,59.937445,10.754045,npc,Fontene,Oslo
92549196,59.928642,10.695242,special,Fontene sør - Bak Frognerparken,Oslo
91723418,59.926951,10.701251,special,Fontenen av Gustav Vigeland,Oslo
92224239,59.893669,10.621169,npc,Fornebu Post i Butikk,Oslo
90354374,59.946031,10.773031,dungeon,Forskningsbragd,Oslo
91513436,59.915587,10.693187,dungeon,Fortuna - Frognerstranda,Oslo
93522533,59.957147,10.606647,dungeon,Fossum Terrasse lekeplass,Oslo
93522530,59.959922,10.610922,dungeon,Fossum Treningspark,Oslo
90399158,59.958971,10.613971,dungeon,Fossumtunet,Oslo
91058609,59.935943,10.612943,npc,Fotballbane,Oslo
92308535,59.895184,10.613184,npc,Fotballbane i Nansenparken,Oslo
92334099,59.936882,10.776282,npc,Fotballbane på Haarklous plass,Oslo
91677569,59.898275,10.632875,special,Fountain Oasis,Oslo
90372800,59.911002,10.734202,npc,Fountain Sculptures,Oslo
90352813,59.903165,10.698965,dungeon,Fram Museum,Oslo
91775533,59.903422,10.788022,dungeon,Francisturbin,Oslo
90353477,59.906361,10.721061,dungeon,"Franz West ""Spalt"" 2003",Oslo
90353609,59.939945,10.722945,dungeon,Frederikkeplassen Fontene,Oslo
90354714,59.911427,10.788427,dungeon,Free Walls Graffiti,Oslo
90295335,59.925837,10.764937,dungeon,Freia sjokoladefabrikk,Oslo
90844575,59.912688,10.742188,npc,Freiaklokken,Oslo
91279283,59.911201,10.616801,npc,Frem Klubbhus,Oslo
92426758,59.905377,10.634777,npc,Fridtjof Nansens gravminne,Oslo
91322202,59.931551,10.809951,dungeon,Frigjøring,Oslo
90354565,59.922606,10.779106,special,Friområde for hunder,Oslo
92391077,59.917772,10.688372,dungeon,Frognerkilen skatepark,Oslo
90362867,59.978099,10.678099,dungeon,Frognerseteren,Oslo
91176733,59.921661,10.692761,dungeon,Frognervassdraget,Oslo
91106369,59.931462,10.742262,dungeon,Frølichbyen,Oslo
90866037,59.910229,10.762329,npc,Frosk Med Sten,Oslo
92432076,59.919465,10.726465,npc,Froskmannen,Oslo
91174848,59.915552,10.587752,npc,Frøytunveien Lekeplass,Oslo
92565985,59.928320,10.78842,npc,Frydenberg lekeplass,Oslo
92707980,59.968075,10.780075,dungeon,Frysja volleyarena,Oslo
90341976,59.927078,10.865078,dungeon,Fugl på vegg,Oslo
90410747,59.935497,10.652897,dungeon,Fuglehund,Oslo
91215729,59.925698,10.536198,dungeon,Fugleliv,Oslo
90368308,59.860912,10.853912,dungeon,Fuglene,Oslo
